Unnamed: 0,Latitude,Longitude,School Name,School Address,School Rating,zipcode
3325,30.177428999999997,-97.82883199999999,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4.0,78749
3327,30.212,-97.782558,Bedichek Middle School,"6800 Bill Hughes Road, Austin, TX  78745",2.0,78745
3328,30.296719,-97.961904,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9.0,78738
3329,30.294994,-97.961252,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9.0,78738
3331,30.341586,-97.743634,Lamar Middle School,"6201 Wynona Avenue, Austin, TX  78757",7.0,78756
3332,30.346216,-97.91349,Canyon Ridge Middle School,"12601 Country Trails Lane, Austin, TX  78732",10.0,78738
3333,30.488026,-97.912295,Running Brushy Middle School,"2303 Lakeline Boulevard, Cedar Park, TX  78613",6.0,78613
3334,30.296478999999998,-97.91947900000001,West Ridge Middle School,"9201 Scenic Bluff Drive, Austin, TX  78733",10.0,78738
3335,30.207245,-97.738079,Mendez Middle School,"5106 Village Square Drive, Austin, TX  78744",1.0,78704
3336,30.381609,-97.791374,Four Points Middle School,"9700 McNeil Drive, Austin, TX  78750",9.0,78750
3337,30.451691999999998,-97.639346,Pflugerville Middle School,"1600 Settlers Valley Drive, Pflugerville, TX  78660",6.0,78660
3338,30.290384999999997,-97.954275,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9.0,78738
