,Latitude,Longitude,School Name,School Address,School Rating
183,30.463773,-97.582359,Kelly Lane Middle School,"18900 Falcon Pointe Boulevard, Pflugerville, TX  78660",7
184,30.342125,-97.46214,Elgin Middle School,"1351 South Avenue C, Elgin, TX  78621",3
185,30.351706,-97.86869,Canyon Ridge Middle School,"12601 Country Trails Lane, Austin, TX  78732",10
186,30.221994,-97.697508,John P Ojeda J High School,"4900 McKinney Falls Parkway, Austin, TX  78744",2
187,30.412427,-97.487085,Cele Middle,"6000 Cele Rd, Pflugerville, TX 78660",7
188,30.205857,-97.993837,Dripping Springs Middle School,"111 Tiger Ln, Dripping Springs, TX 78620",8
189,30.293917,-97.722423,Wall Sp Prog,,
190,30.102453,-97.715634,John P Ojeda J High School,"4900 McKinney Falls Parkway, Austin, TX  78744",2
191,30.277218,-97.822718,Westlake High School,"4100 Westbank Drive, Austin, TX  78746",9
192,30.331093,-97.984181,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9
193,30.502291,-97.611439,Ridgeview Middle School,"2000 Via Sonoma Trail, Round Rock, TX  78665",9
194,30.211595,-97.884089,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9
195,30.434277,-97.813068,Noel Grisham Middle School,"10805 School House Lane, Austin, TX  78750",7
196,30.312342,-97.915063,West Ridge Middle School,"9201 Scenic Bluff Drive, Austin, TX  78733",10
197,30.42414,-97.770521,Canyon Vista Middle School,"8455 Spicewood Springs Road, Austin, TX  78759",10
198,30.499245,-97.75848,Pearson Ranch Middle,,
199,30.225636,-97.930387,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9
200,30.365201,-97.947601,Lago Vista Middle School,"8039 Bar K Ranch Rd, Lago Vista, TX 78645",5
201,30.46751,-97.777781,Deerpark Middle School,"8849 Anderson Mill Road, Austin, TX  78729",6
202,30.162735,-97.830184,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4
203,30.275142,-97.687216,Alternative Learning Center,(512) 414-2554,5
204,30.472371,-97.635489,Park Crest Middle School,"1500 North Railroad Avenue, Pflugerville, TX  78660",7
205,30.301989,-97.889661,West Ridge Middle School,"9201 Scenic Bluff Drive, Austin, TX  78733",10
206,30.248169,-97.927411,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9
207,30.126537,-97.595949,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4
208,30.345993,-97.984056,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9
209,30.073727,-97.641486,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4
210,30.362823,-97.727361,Burnet Middle School,"8401 Hathaway Drive, Austin, TX  78757",2
211,30.409537,-97.778461,Canyon Vista Middle School,"8455 Spicewood Springs Road, Austin, TX  78759",10
212,30.367713,-97.946765,Lago Vista Middle School,"8039 Bar K Ranch Rd, Lago Vista, TX 78645",5
213,30.41307,-97.734227,Westview Middle School,"1805 Scofield Lane, Austin, TX  78727",4
214,30.154854,-97.835661,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4
215,30.257982,-97.564298,Decker Middle School,"8104 Decker Creek Cove, Manor, TX  78653",4
216,30.324023,-97.875768,West Ridge Middle School,"9201 Scenic Bluff Drive, Austin, TX  78733",10
217,30.204762,-97.849337,Covington Middle School,"3700 Convict Hill Road, Austin, TX  78749",5
218,30.302388,-97.486288,Decker Middle School,"8104 Decker Creek Cove, Manor, TX  78653",4
219,30.375024,-97.647878,Dessau Middle School,"12900 Dessau Road, Austin, TX  78754",3
220,30.281806,-97.509946,Decker Middle School,"8104 Decker Creek Cove, Manor, TX  78653",4
221,30.292588,-97.688935,Dell Children's Medical Center,,
222,30.39459,-97.803899,Four Points Middle School,"9700 McNeil Drive, Austin, TX  78750",9
223,30.308927,-97.89547,West Ridge Middle School,"9201 Scenic Bluff Drive, Austin, TX  78733",10
224,30.497203,-97.893085,Running Brushy Middle School,"2303 Lakeline Boulevard, Cedar Park, TX  78613",6
225,30.192445,-97.936777,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9
226,30.322246,-97.543391,Manor New Technology Middle,mntms.manorisd.net/,
227,30.354862,-97.985449,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9
228,30.310654,-97.923462,West Ridge Middle School,"9201 Scenic Bluff Drive, Austin, TX  78733",10
229,30.439951,-97.635437,Pflugerville Middle School,"1600 Settlers Valley Drive, Pflugerville, TX  78660",6
230,30.289209,-97.819391,Westlake High School,"4100 Westbank Drive, Austin, TX  78746",9
231,30.22624,-97.630832,Dailey Middle School,"14000 Westall Street, Austin, TX  78725",3
232,30.360134,-97.63848,Dobie Middle School,"1200 East Rundberg Lane, Austin, TX  78753",3
233,30.297615,-97.76511,O Henry Middle School,"2610 West 10th Street, Austin, TX  78703",6
234,30.470705,-97.778021,Deerpark Middle School,"8849 Anderson Mill Road, Austin, TX  78729",6
235,30.122444,-97.830406,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4
236,30.326024,-97.765082,Rosedale,(512) 414-3617,5
237,30.142666,-97.598715,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4
238,30.127313,-97.627132,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4
239,30.317786,-97.831816,Westlake High School,"4100 Westbank Drive, Austin, TX  78746",9
240,30.488584,-97.580731,Kelly Lane Middle School,"18900 Falcon Pointe Boulevard, Pflugerville, TX  78660",7
241,30.296466,-97.811094,Westlake High School,"4100 Westbank Drive, Austin, TX  78746",9
242,30.545721,-97.80662,Knox Wiley Middle School,"1526 Raider Way, Leander, TX  78641",8
243,30.150327,-97.737989,Mendez Middle School,"5106 Village Square Drive, Austin, TX  78744",1
244,30.372195,-97.730648,Burnet Middle School,"8401 Hathaway Drive, Austin, TX  78757",2
245,30.129177,-97.646425,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4
246,30.298609,-97.482155,Decker Middle School,"8104 Decker Creek Cove, Manor, TX  78653",4
247,30.347232,-97.954902,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9
248,30.165527,-97.766492,Mendez Middle School,"5106 Village Square Drive, Austin, TX  78744",1
249,30.355006,-97.889229,Canyon Ridge Middle School,"12601 Country Trails Lane, Austin, TX  78732",10
